id,timestamp,market_id,market_name,token_id,outcome,price,bid,ask,spread,volume_24h,bid_depth,ask_depth,created_at
46649,1771924565,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","111393915211065054830393415087649576629947521402391556756320249135343745424936","Up",0.5,0.01,0.99,0.98,0,18900,18900,
46651,1771924565,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","77797641043231145755569981540108934865699146132271140064805942036867855504835","Up",0.5,0.01,0.99,0.98,0,17871.5,17937.5,
46641,1771924505,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","111393915211065054830393415087649576629947521402391556756320249135343745424936","Up",0.5,0.01,0.99,0.98,0,18900,18900,
46643,1771924505,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","77797641043231145755569981540108934865699146132271140064805942036867855504835","Up",0.5,0.01,0.99,0.98,0,17851.5,17917.5,
46633,1771924445,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","111393915211065054830393415087649576629947521402391556756320249135343745424936","Up",0.5,0.01,0.99,0.98,0,18880,18880,
46635,1771924445,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","77797641043231145755569981540108934865699146132271140064805942036867855504835","Up",0.5,0.01,0.99,0.98,0,17851.5,17917.5,
46625,1771924385,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","111393915211065054830393415087649576629947521402391556756320249135343745424936","Up",0.5,0.01,0.99,0.98,0,18580,18580,
46627,1771924385,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","77797641043231145755569981540108934865699146132271140064805942036867855504835","Up",0.5,0.01,0.99,0.98,0,17589.5,17589.5,
46619,1771924325,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","111393915211065054830393415087649576629947521402391556756320249135343745424936","Up",0.5,0.01,0.99,0.98,0,18276,18276,
46621,1771924325,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","77797641043231145755569981540108934865699146132271140064805942036867855504835","Up",0.5,0.01,0.99,0.98,0,17389.5,17389.5,
46613,1771924265,"0x38bfc4701a02a307212697a41a16050b8e213642b71e1ba0096bf0275397f4f7","Bitcoin Up or Down - February 25, 3:45AM-4:00AM ET","81698993793045306747668716492533987092869036555343286259527407306393441832445","Up",0.5,0.01,0.99,0.98,0,18946.29,18926.19,
