id,timestamp,market_id,market_name,token_id,outcome,price,bid,ask,spread,volume_24h,bid_depth,ask_depth,created_at
46647,1771924565,"0x2a28e2d4f5e87040002bb9f5f45c1e67cdabd5993981872aac36f020c7f0c98a","XRP Up or Down - February 25, 4:00AM-4:15AM ET","107033268459264937704413215353292220283066742527885844464950127614700786002422","Up",0.5,0.01,0.99,0.98,0,17797,17869,
46648,1771924565,"0x2a28e2d4f5e87040002bb9f5f45c1e67cdabd5993981872aac36f020c7f0c98a","XRP Up or Down - February 25, 4:00AM-4:15AM ET","64541589893600980514948480287070135426559049549757376900820954812155114377566","Down",0.5,0.01,0.99,0.98,0,17869,17797,
46649,1771924565,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","111393915211065054830393415087649576629947521402391556756320249135343745424936","Up",0.5,0.01,0.99,0.98,0,18900,18900,
46650,1771924565,"0x62e09ba37ac5bf75ed894b3556ae9fac7c436cc43c7118f6a83a8b29255c6e01","Bitcoin Up or Down - February 25, 4:00AM-4:15AM ET","100852782410414840720080757457770775624930700564705296706305620117586030232155","Down",0.5,0.01,0.99,0.98,0,18900,18900,
46651,1771924565,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","77797641043231145755569981540108934865699146132271140064805942036867855504835","Up",0.5,0.01,0.99,0.98,0,17871.5,17937.5,
46652,1771924565,"0xcb94ef92a3e8136287e2f785f16e7df4cee43fe6991c00fb50e774bb228308f2","Ethereum Up or Down - February 25, 4:00AM-4:15AM ET","65068024365255122262708335126859449339828285686437693708191284424382650384538","Down",0.5,0.01,0.99,0.98,0,17937.5,17871.5,
46653,1771924565,"0x3b995d84b2117e5229083c4f8c3b30cc6b47383c76c484bcadd8390ae21a993c","Solana Up or Down - February 25, 4:00AM-4:15AM ET","60539501178953141565617193054023945632911230498584427109724495649386799056881","Up",0.5,0.01,0.99,0.98,0,17362,17484,
46654,1771924565,"0x3b995d84b2117e5229083c4f8c3b30cc6b47383c76c484bcadd8390ae21a993c","Solana Up or Down - February 25, 4:00AM-4:15AM ET","19266073082849265504896655681144609254615254349402387122829177412417380842033","Down",0.5,0.01,0.99,0.98,0,17484,17362,
46639,1771924505,"0x2a28e2d4f5e87040002bb9f5f45c1e67cdabd5993981872aac36f020c7f0c98a","XRP Up or Down - February 25, 4:00AM-4:15AM ET","107033268459264937704413215353292220283066742527885844464950127614700786002422","Up",0.5,0.01,0.99,0.98,0,17797,17869,
46640,1771924505,"0x2a28e2d4f5e87040002bb9f5f45c1e67cdabd5993981872aac36f020c7f0c98a","XRP Up or Down - February 25, 4:00AM-4:15AM ET","64541589893600980514948480287070135426559049549757376900820954812155114377566","Down",0.5,0.01,0.99,0.98,0,17869,17797,
